fold,equation,complexity,loss,score,equation_index,train_rmse,train_r2,train_mae,train_pearson_r,train_spearman_r,train_kendall_tau,train_top_k_accuracy_true,val_rmse,val_r2,val_mae,val_pearson_r,val_spearman_r,val_kendall_tau,val_top_k_accuracy_true
1,-gravy - hydrophobic_aa_percent + (alphafold_distance_score + 0.5518216)*(hydrophobic_aa_percent + instability_index + 0.6557767)*(alphafold_interface_sasa + alphafold_ipsae_max*(alphafold_interface_sasa + uHrel) + hydrophobic_aa_percent - turn_fraction) + 5.66123455,29,1.3848679,7.220904812586586e-08,14,1.1768043345441033,0.37687400398593796,0.9140059664879616,0.6139262447867839,0.6078971937098693,0.4299151131767375,0.2,1.4322221279945808,0.10020708307627824,1.144080819051518,0.3859490809702831,0.3844751770892682,0.2629496926476131,0.1
1,-gravy - hydrophobic_aa_percent + (alphafold_distance_score + 0.5518216)*(hydrophobic_aa_percent + instability_index + 0.6557767)*(alphafold_interface_sasa + alphafold_ipsae_max*(alphafold_interface_sasa + uHrel) + hydrophobic_aa_percent - turn_fraction) + 5.6612344,27,1.3848681,0.0052482408508765415,13,1.1768043345649777,0.37687400396383164,0.9140059683127792,0.6139262447867839,0.6078971937098693,0.4299151131767375,0.2,1.4322221123385865,0.10020710274802092,1.144080800119479,0.385949080970283,0.3844751770892682,0.2629496926476131,0.1
1,-gravy - hydrophobic_aa_percent + (alphafold_distance_score + 0.3933839)*(hydrophobic_aa_percent + 1.1858994)*(alphafold_interface_sasa + alphafold_ipsae_max*(alphafold_interface_sasa + uHrel) + hydrophobic_aa_percent - turn_fraction) + 5.66772,25,1.3994809,0.0038393648222220886,12,1.1829967243636288,0.37029892414592136,0.9177624640637158,0.60854396731733,0.602421120471335,0.4262794171610376,0.2,1.4426314123136128,0.08708029702582987,1.145167498364992,0.3677882988881399,0.35733614850566725,0.24521741982932832,0.1
1,alphafold_distance_score*(alphafold_interface_sasa + alphafold_iptm + instability_index + 0.7847098)*(alphafold_interface_sasa + alphafold_ipsae_max*uHrel + hydrophobic_aa_percent - turn_fraction) + alphafold_interface_sasa + 4.9185047,23,1.4102685,0.0022774557426793614,11,1.187547392918417,0.36544502667577494,0.9218740701257423,0.6046789973934417,0.5973686104312298,0.4222872803594849,0.2,1.4328758724842123,0.09938546623210409,1.1475460416125443,0.3725848637822905,0.3751643467006254,0.25460509367430256,0.1
1,alphafold_distance_score*(alphafold_interface_sasa + 2*alphafold_iptm)*(alphafold_interface_sasa + alphafold_ipsae_max*uHrel + hydrophobic_aa_percent - turn_fraction) + alphafold_interface_sasa + 5.000869,21,1.4167068,0.005243472077333556,10,1.1902549995009257,0.36254815890496983,0.9267891095897045,0.6041051145202139,0.5991674360611219,0.4243071114793181,0.3,1.4257147087151925,0.10836507417856323,1.1347077382056316,0.3697315496757293,0.36957304376322153,0.2522344689659758,0.1
1,(alphafold_distance_score + alphafold_iptm)*(alphafold_distance_score*alphafold_interface_peptide_plddt*uHrel + 2*alphafold_interface_sasa + hydrophobic_aa_percent - turn_fraction) + 4.841048,19,1.4316419,0.004805519381858111,9,1.196512410600693,0.3558281145666634,0.9321085173297459,0.596840762142627,0.5963157953152817,0.42033873739682226,0.3,1.4265077028318978,0.10737292914041352,1.1361722144218491,0.3783228806194319,0.3790431157773833,0.2593463430909563,0.1
1,(alphafold_distance_score + alphafold_iptm)*(2*alphafold_interface_sasa + alphafold_ipsae_min*uHrel + hydrophobic_aa_percent - turn_fraction) + 4.8465695,17,1.4454678,0.010600084481892058,8,1.2022761759646783,0.34960703697885587,0.9329777903038332,0.5914439213979854,0.592135301735521,0.41675056681923617,0.3,1.4130437487702965,0.12414335824224021,1.1198395084250146,0.38806788303381917,0.3843852604817553,0.2646565424376084,0.2
1,-inter_model_rmsd + (alphafold_distance_score + alphafold_iptm)*(2*alphafold_interface_sasa + hydrophobic_aa_percent - turn_fraction) + 5.045237,15,1.4764391,0.0019010991492315545,7,1.2150881542771526,0.335671437512027,0.9454347065113848,0.5852848457524957,0.5909081697513354,0.41489707473280096,0.4,1.40275218672307,0.1368550772978887,1.098688590676007,0.3832977430066753,0.366259170625266,0.25128621908264503,0.3
1,(alphafold_distance_score + alphafold_iptm)*(2*alphafold_interface_sasa + hydrophobic_aa_percent - turn_fraction) + 5.045237,13,1.4820635,0.026054814940751726,6,1.217400446712811,0.33314061946138274,0.9454794057905888,0.5790069052708935,0.5874157827183798,0.4131148708035364,0.4,1.407112970031263,0.13148015986671535,1.1116729726548273,0.38414240029368535,0.3848149383161299,0.26332899260094533,0.3
1,(alphafold_distance_score + 1.3354608)*(alphafold_interface_sasa + alphafold_iptm - turn_fraction) + 4.641758,11,1.5613409,0.01647904520193282,5,1.249536425701106,0.29746948495351044,0.9852029819219917,0.5459297381243606,0.5659395470019126,0.3935581530197394,0.3,1.4175738848651867,0.11851846520154374,1.1184592997183271,0.38463487557843373,0.3979345263772075,0.2740442162825827,0.1
